width,element_id,n1,n2,family,mean_tension_per_rope_kn,sigma_per_rope_kn,peak_mean_plus_3p5sigma_kn,capacity_ratio_to_break
L,1123,1123,1124,gantry_rope,544.7331128767025,15.87185169896459,600.2845938230786,
L,1124,1124,1125,gantry_rope,544.4950803483949,15.867149698423678,600.0301042928778,
L,1125,1125,1126,gantry_rope,544.2720240881289,15.86261062302635,599.7911612687211,
L,1126,1126,1127,gantry_rope,544.0522282250727,15.858031029957393,599.5553368299236,
L,1127,1127,1128,gantry_rope,543.8256343706331,15.85320497448549,599.3118517813323,
L,1128,1128,1129,gantry_rope,543.0529498245661,15.836526756566979,598.4807934725505,
L,1129,1129,1130,gantry_rope,542.8709772502093,15.832560826700677,598.2849401436616,
L,1130,1130,1131,gantry_rope,542.6739173070772,15.828164937033243,598.0724945866936,
L,1131,1131,1132,gantry_rope,542.4801254151542,15.823741130121425,597.8632193705793,
L,1132,1132,1133,gantry_rope,542.3063090260617,15.81969309271519,597.675234850565,
L,1133,1133,1134,gantry_rope,541.7215817016705,15.800305602855145,597.0226513116635,
L,1134,1134,1135,gantry_rope,541.5593948729127,15.7964890708312,596.8471066208218,
L,1135,1135,1136,gantry_rope,541.3837365820771,15.792269136679321,596.6566785604547,
L,1136,1136,1137,gantry_rope,541.2129891903875,15.78803376146482,596.4711073555144,
L,1137,1137,1138,gantry_rope,541.0588959164029,15.784168165444935,596.3034844954601,
L,1138,1138,1139,gantry_rope,540.5424002292315,15.766417777322548,595.7248624498604,
L,1139,1139,1140,gantry_rope,540.4066105717942,15.762945440716425,595.5769196143017,
L,1140,1140,1141,gantry_rope,540.2623615473713,15.759226837027342,595.4196554769669,
L,1141,1141,1142,gantry_rope,540.1213792337813,15.755506490540863,595.2656519506744,
L,1142,1142,1143,gantry_rope,539.9920708394793,15.752024096624504,595.1241551776651,
L,1143,1143,1144,gantry_rope,539.4958971685322,15.738798811739091,594.581693009619,
L,1144,1144,1145,gantry_rope,539.3758908842215,15.735605414721036,594.450509835745,
L,1145,1145,1146,gantry_rope,539.2474810388908,15.73209637552053,594.3098183532127,
L,1146,1146,1147,gantry_rope,539.1223258366587,15.728598330676894,594.1724199940278,
L,1147,1147,1148,gantry_rope,539.0121073931505,15.725425839210603,594.0510978303876,
L,1148,1148,1149,gantry_rope,538.6427119686979,15.711769716216292,593.6339059754549,
L,1149,1149,1150,gantry_rope,538.5440845366167,15.708960884981293,593.5254476340511,
