global_index,width,mct_node,x_m,y_m,z_m
1458,R,334,2106.909,21.45,124.319672000723
1459,R,335,2107.9175,21.45,124.40615054395
1460,R,336,2115.909,21.45,125.103633321124
1461,R,337,2124.909,21.45,125.911982085001
1462,R,338,2133.909,21.45,126.744410603605
1463,R,339,2142.909,21.45,127.600924204446
1464,R,340,2151.909,21.45,128.481528369198
1465,R,341,2160.909,21.45,129.38622873286602
1466,R,342,2162.9183,21.45,129.591682718469
1467,R,343,2169.909,21.45,130.36112514048
1468,R,344,2178.909,21.45,131.373391361714
1469,R,345,2187.909,21.45,132.409787281103
1470,R,346,2196.909,21.45,133.470319530577
1471,R,347,2205.909,21.45,134.55499489745202
1472,R,348,2213.9183,21.45,135.540693850972
1473,R,349,2214.909,21.45,135.664127463352
1474,R,350,2223.909,21.45,136.79990222399502
1475,R,351,2232.909,21.45,137.959842239053
1476,R,352,2241.909,21.45,139.14395493147902
1477,R,353,2250.909,21.45,140.35224787944102
1478,R,354,2259.909,21.45,141.584728815834
1479,R,355,2264.9183,21.45,142.281489822688
1480,R,356,2268.909,21.45,142.84264258030902
1481,R,357,2277.909,21.45,144.12631585125598
1482,R,358,2286.909,21.45,145.434202192384
1483,R,359,2295.909,21.45,146.766309974462
1484,R,360,2304.909,21.45,148.122647721386
1485,R,361,2313.909,21.45,149.503224113289
1486,R,362,2322.909,21.45,150.96739469510098
1487,R,363,2331.909,21.45,152.45584439018
1488,R,364,2340.909,21.45,153.968582723821
1489,R,365,2349.909,21.45,155.50561937526598
1490,R,366,2358.909,21.45,157.066964180552
1491,R,367,2367.909,21.45,158.652627131225
1492,R,368,2370.9183,21.45,159.188475651693
1493,R,369,2376.909,21.45,160.264476223878
1494,R,370,2385.909,21.45,161.90159907012102
1495,R,371,2394.909,21.45,163.56307217774298
1496,R,372,2403.909,21.45,165.2489061786
1497,R,373,2412.909,21.45,166.95911185872401
1498,R,374,2421.909,21.45,168.693700161532
1499,R,375,2427.9183,21.45,169.865729749216
1500,R,376,2430.909,21.45,170.45360922528698
1501,R,377,2439.909,21.45,172.23978891310898
1502,R,378,2448.909,21.45,174.050386302758
1503,R,379,2457.909,21.45,175.885412979371
