mode,freq,station,x_mm,nid_plus,nid_minus,uY_L,uY_R,uZ_L,uZ_R,u_L,u_V,u_T,dUZ
19,0.168030832661081,5,3361547.0,29176,52024,-1.817452290021929e-16,-1.886923285279363e-16,7.849988636877022e-17,-2.800073068598103e-16,-1.852187787650646e-16,-1.0075371024552005e-16,8.337376586711175e-21,3.5850719322858054e-16
20,0.1833701470867523,1,372853.0,80,14098,-1.874138039801613e-16,-1.896057613755716e-16,4.079126161647683e-16,3.338242047157206e-17,-1.8850978267786646e-16,2.2064751831817017e-16,8.710004551004563e-21,3.7453019569319624e-16
20,0.1833701470867523,2,1272409.0,28469,51317,-0.01994381381870025,-0.01994512557824488,-0.0008445406452695789,0.0005812767647835906,-0.019944469698472564,-0.0001316319402429942,-3.315854441984115e-08,-0.0014258174100531696
20,0.1833701470867523,3,1847909.0,28660,51508,0.03086047849009215,0.03086380486418384,0.002728332457589442,-0.002102269773903423,0.030862141677137994,0.0003130313418430095,1.1233958677890383e-07,0.004830602231492865
20,0.1833701470867523,4,2423409.0,374,14392,-0.02237849333341436,-0.02238012352029152,-0.001042367579266201,0.0007179093970284937,-0.022379308426852942,-0.00016222909111885363,-4.093667386731848e-08,-0.0017602769762946947
20,0.1833701470867523,5,3361547.0,29176,52024,6.731708950112929e-17,5.414239586955059e-17,-1.269574770103212e-16,1.264831146847211e-17,6.072974268533994e-17,-5.715458277092454e-17,-3.246646243692868e-21,-1.3960578847879333e-16
21,0.1875398384529541,1,372853.0,80,14098,-7.704065908081616e-18,-3.347204700718494e-17,-2.655882618264962e-15,-2.132501537847438e-15,-2.058805645763328e-17,-2.3941920780562e-15,-1.2171653032965674e-20,-5.23381080417524e-16
21,0.1875398384529541,2,1272409.0,28469,51317,-3.338520398729687e-06,3.116698144324129e-06,-0.01177012256449504,-0.01181101993388291,-1.1091112720277915e-07,-0.011790571249188975,9.511016136713734e-10,4.089736938786906e-05
21,0.1875398384529541,3,1847909.0,28660,51508,1.382077869263282e-05,-1.301287353370026e-05,0.03415115266029148,0.03429236266146213,4.0395257946627967e-07,0.0342217576608768,-3.283953515596503e-09,-0.00014121000117064963
21,0.1875398384529541,4,2423409.0,374,14392,-4.157062223622099e-06,3.722725923929382e-06,-0.01429836500780796,-0.01434794857211136,-2.171681498463587e-07,-0.01432315678995966,1.1531061465906922e-09,4.958356430339976e-05
21,0.1875398384529541,5,3361547.0,29176,52024,-1.386895752760356e-16,-6.821893084680642e-17,1.199650944399376e-15,6.631923652832348e-16,-1.03454253061421e-16,9.314216548413054e-16,1.2475780909677703e-20,5.364585791161412e-16
